season,latitude,longitude,count
Summer,-12.0,131.0,428
Summer,-12.0,137.0,3
Summer,-13.0,131.0,45
Summer,-13.0,133.0,7
Summer,-13.0,136.0,2
Summer,-13.0,143.0,9
Summer,-14.0,132.0,67
Summer,-15.0,128.0,4
Summer,-15.0,131.0,3
Summer,-15.0,132.0,28
Summer,-15.0,133.0,5
Summer,-16.0,126.0,4
Summer,-16.0,128.0,5
Summer,-16.0,129.0,18
Summer,-16.0,131.0,5
Summer,-16.0,145.0,5
Summer,-17.0,128.0,2
Summer,-17.0,141.0,5
Summer,-17.0,145.0,45
Summer,-17.0,146.0,188
Summer,-18.0,122.0,119
Summer,-18.0,123.0,12
Summer,-18.0,124.0,2
Summer,-18.0,125.0,3
Summer,-18.0,126.0,5
Summer,-18.0,128.0,2
Summer,-18.0,141.0,4
Summer,-18.0,146.0,21
Summer,-19.0,146.0,23
Summer,-19.0,147.0,213
Summer,-20.0,119.0,31
Summer,-20.0,121.0,4
Summer,-20.0,134.0,2
Summer,-20.0,147.0,22
Summer,-20.0,148.0,7
Summer,-21.0,117.0,9
Summer,-21.0,120.0,12
Summer,-21.0,149.0,19
Summer,-22.0,114.0,7
Summer,-22.0,119.0,2
Summer,-23.0,120.0,7
Summer,-23.0,131.0,9
Summer,-23.0,150.0,9
Summer,-23.0,151.0,12
Summer,-23.0,152.0,1
Summer,-24.0,116.0,4
Summer,-24.0,133.0,4
Summer,-24.0,134.0,24
Summer,-24.0,145.0,3
Summer,-24.0,150.0,4
Summer,-24.0,151.0,17
Summer,-24.0,152.0,10
Summer,-25.0,131.0,9
Summer,-25.0,146.0,1
Summer,-25.0,152.0,106
Summer,-25.0,153.0,20
Summer,-26.0,146.0,1
Summer,-26.0,153.0,129
Summer,-27.0,149.0,7
Summer,-27.0,150.0,1
Summer,-27.0,151.0,6
Summer,-27.0,152.0,21
Summer,-27.0,153.0,863
Summer,-28.0,114.0,4
Summer,-28.0,115.0,3
Summer,-28.0,140.0,2
Summer,-28.0,145.0,4
Summer,-28.0,149.0,9
Summer,-28.0,150.0,2
Summer,-28.0,151.0,11
Summer,-28.0,152.0,50
Summer,-28.0,153.0,485
Summer,-28.0,154.0,113
Summer,-29.0,115.0,7
Summer,-29.0,117.0,2
Summer,-29.0,118.0,1
Summer,-29.0,141.0,3
Summer,-29.0,145.0,1
Summer,-29.0,148.0,5
Summer,-29.0,149.0,8
Summer,-29.0,150.0,1
Summer,-29.0,151.0,1
Summer,-29.0,152.0,6
Summer,-29.0,153.0,44
Summer,-29.0,154.0,103
Summer,-30.0,116.0,1
Summer,-30.0,117.0,9
Summer,-30.0,150.0,7
Summer,-30.0,151.0,11
Summer,-30.0,153.0,106
Summer,-31.0,115.0,4
Summer,-31.0,116.0,3
Summer,-31.0,121.0,13
Summer,-31.0,147.0,4
Summer,-31.0,148.0,2
Summer,-31.0,149.0,11
Summer,-31.0,150.0,3
Summer,-31.0,151.0,11
Summer,-31.0,152.0,2
Summer,-31.0,153.0,113
Summer,-32.0,115.0,4
Summer,-32.0,116.0,746
Summer,-32.0,117.0,35
Summer,-32.0,118.0,5
Summer,-32.0,122.0,4
Summer,-32.0,126.0,19
Summer,-32.0,133.0,6
Summer,-32.0,138.0,20
Summer,-32.0,141.0,5
Summer,-32.0,142.0,6
Summer,-32.0,146.0,4
Summer,-32.0,149.0,9
Summer,-32.0,150.0,17
Summer,-32.0,151.0,29
Summer,-32.0,152.0,35
Summer,-32.0,153.0,66
Summer,-33.0,116.0,29
Summer,-33.0,117.0,89
Summer,-33.0,123.0,9
Summer,-33.0,137.0,19
Summer,-33.0,138.0,9
Summer,-33.0,139.0,4
Summer,-33.0,146.0,90
Summer,-33.0,148.0,3
Summer,-33.0,149.0,7
Summer,-33.0,150.0,27
Summer,-33.0,151.0,43
Summer,-33.0,152.0,33
Summer,-34.0,115.0,15
Summer,-34.0,116.0,14
Summer,-34.0,117.0,7
Summer,-34.0,118.0,9
Summer,-34.0,119.0,1
Summer,-34.0,138.0,10
Summer,-34.0,139.0,30
Summer,-34.0,140.0,86
