month,label,season,count,medianLatitude,southOf30,southShare
1,Jan,Summer,2655,-30.0,1343,0.5058380414312618
2,Feb,Summer,2045,-28.0,943,0.46112469437652814
3,Mar,Autumn,2367,-27.0,607,0.25644275454161386
4,Apr,Autumn,2196,-19.0,29,0.013205828779599272
5,May,Autumn,2469,-18.0,6,0.002430133657351154
6,Jun,Winter,3254,-18.0,5,0.0015365703749231714
7,Jul,Winter,3653,-17.0,9,0.0024637284423761293
8,Aug,Winter,3757,-18.0,96,0.025552302368911366
9,Sep,Spring,3724,-19.0,444,0.11922663802363051
10,Oct,Spring,5620,-28.0,2307,0.4104982206405694
11,Nov,Spring,3567,-30.0,1784,0.5001401738155312
12,Dec,Summer,2392,-29.0,1139,0.4761705685618729
