year,source,row,month,label,count,relative,availability
2024,eBird Australia,eBird Australia · 2024,1,Jan,719382,0.70011,Recorded
2024,eBird Australia,eBird Australia · 2024,2,Feb,549671,0.53494,Recorded
2024,eBird Australia,eBird Australia · 2024,3,Mar,590903,0.57507,Recorded
2024,eBird Australia,eBird Australia · 2024,4,Apr,612572,0.59616,Recorded
2024,eBird Australia,eBird Australia · 2024,5,May,546541,0.5319,Recorded
2024,eBird Australia,eBird Australia · 2024,6,Jun,576856,0.5614,Recorded
2024,eBird Australia,eBird Australia · 2024,7,Jul,619134,0.60254,Recorded
2024,eBird Australia,eBird Australia · 2024,8,Aug,709162,0.69016,Recorded
2024,eBird Australia,eBird Australia · 2024,9,Sep,817939,0.79602,Recorded
2024,eBird Australia,eBird Australia · 2024,10,Oct,1027534,1.0,Recorded
2024,eBird Australia,eBird Australia · 2024,11,Nov,817971,0.79605,Recorded
2024,eBird Australia,eBird Australia · 2024,12,Dec,720876,0.70156,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",1,Jan,80514,0.71041,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",2,Feb,68217,0.60191,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",3,Mar,73243,0.64626,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",4,Apr,81376,0.71802,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",5,May,73844,0.65156,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",6,Jun,65501,0.57795,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",7,Jul,69333,0.61176,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",8,Aug,84011,0.74127,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",9,Sep,93152,0.82192,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",10,Oct,113334,1.0,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",11,Nov,85431,0.7538,Recorded
2024,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2024",12,Dec,69238,0.61092,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,1,Jan,22356,0.55479,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,2,Feb,18468,0.45831,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,3,Mar,22342,0.55445,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,4,Apr,24670,0.61222,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,5,May,21137,0.52454,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,6,Jun,21008,0.52134,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,7,Jul,24433,0.60634,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,8,Aug,28259,0.70129,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,9,Sep,40296,1.0,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,10,Oct,32383,0.80363,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,11,Nov,27815,0.69027,Recorded
2024,iNaturalist Australia,iNaturalist Australia · 2024,12,Dec,27020,0.67054,Recorded
2025,eBird Australia,eBird Australia · 2025,1,Jan,853674,1.0,Recorded
2025,eBird Australia,eBird Australia · 2025,2,Feb,626812,0.73425,Recorded
2025,eBird Australia,eBird Australia · 2025,3,Mar,643363,0.75364,Recorded
2025,eBird Australia,eBird Australia · 2025,4,Apr,699590,0.8195,Recorded
2025,eBird Australia,eBird Australia · 2025,5,May,629925,0.7379,Recorded
2025,eBird Australia,eBird Australia · 2025,6,Jun,662232,0.77574,Recorded
2025,eBird Australia,eBird Australia · 2025,7,Jul,702250,0.82262,Recorded
2025,eBird Australia,eBird Australia · 2025,8,Aug,782863,0.91705,Recorded
2025,eBird Australia,eBird Australia · 2025,9,Sep,0,,No records in snapshot
2025,eBird Australia,eBird Australia · 2025,10,Oct,0,,No records in snapshot
2025,eBird Australia,eBird Australia · 2025,11,Nov,0,,No records in snapshot
2025,eBird Australia,eBird Australia · 2025,12,Dec,0,,No records in snapshot
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",1,Jan,73835,0.66377,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",2,Feb,66517,0.59798,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",3,Mar,70959,0.63791,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",4,Apr,81618,0.73374,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",5,May,72178,0.64887,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",6,Jun,64568,0.58046,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",7,Jul,73367,0.65956,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",8,Aug,77946,0.70073,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",9,Sep,94066,0.84564,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",10,Oct,111236,1.0,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",11,Nov,91529,0.82284,Recorded
2025,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2025",12,Dec,74448,0.66928,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,1,Jan,30140,0.55528,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,2,Feb,25182,0.46394,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,3,Mar,26243,0.48348,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,4,Apr,32622,0.60101,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,5,May,28546,0.52591,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,6,Jun,32665,0.6018,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,7,Jul,34103,0.62829,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,8,Aug,41422,0.76313,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,9,Sep,44261,0.81544,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,10,Oct,54279,1.0,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,11,Nov,39558,0.72879,Recorded
2025,iNaturalist Australia,iNaturalist Australia · 2025,12,Dec,38640,0.71188,Recorded
2026,eBird Australia,eBird Australia · 2026,1,Jan,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,2,Feb,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,3,Mar,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,4,Apr,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,5,May,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,6,Jun,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,7,Jul,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,8,Aug,0,,No records in snapshot
2026,eBird Australia,eBird Australia · 2026,9,Sep,,,Outside comparison
2026,eBird Australia,eBird Australia · 2026,10,Oct,,,Outside comparison
2026,eBird Australia,eBird Australia · 2026,11,Nov,,,Outside comparison
2026,eBird Australia,eBird Australia · 2026,12,Dec,,,Outside comparison
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",1,Jan,73806,0.93728,Recorded
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",2,Feb,66275,0.84164,Recorded
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",3,Mar,67798,0.86098,Recorded
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",4,Apr,78745,1.0,Recorded
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",5,May,65518,0.83203,Recorded
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",6,Jun,47496,0.60316,Recorded
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",7,Jul,0,,No records in snapshot
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",8,Aug,0,,No records in snapshot
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",9,Sep,,,Outside comparison
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",10,Oct,,,Outside comparison
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",11,Nov,,,Outside comparison
2026,"BirdLife Australia, Birdata","BirdLife Australia, Birdata · 2026",12,Dec,,,Outside comparison
2026,iNaturalist Australia,iNaturalist Australia · 2026,1,Jan,40729,0.9062,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,2,Feb,31928,0.71038,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,3,Mar,34702,0.7721,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,4,Apr,41762,0.92918,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,5,May,37003,0.8233,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,6,Jun,37931,0.84394,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,7,Jul,41951,0.93339,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,8,Aug,44945,1.0,Recorded
2026,iNaturalist Australia,iNaturalist Australia · 2026,9,Sep,,,Outside comparison
2026,iNaturalist Australia,iNaturalist Australia · 2026,10,Oct,,,Outside comparison
2026,iNaturalist Australia,iNaturalist Australia · 2026,11,Nov,,,Outside comparison
2026,iNaturalist Australia,iNaturalist Australia · 2026,12,Dec,,,Outside comparison
