family,count,share
Meliphagidae,1066833,0.11140786234474341
Artamidae,596815,0.06232454692091268
Psittacidae,552970,0.05774587554075733
Anatidae,534124,0.05577781439740215
Columbidae,432714,0.04518771142872718
Cacatuidae,416144,0.04345732974850881
Acanthizidae,365561,0.03817501855173841
Rhipiduridae,310853,0.03246193943517919
Rallidae,284060,0.029663984313990862
Corvidae,261354,0.027292828826299964
Ardeidae,257181,0.026857048334353602
Phalacrocoracidae,255215,0.026651741733067582
Monarchidae,243154,0.02539222854989838
Accipitridae,235806,0.024624887295447897
Pachycephalidae,228058,0.02381577460635122
Other families / unassigned,3535080,0.3691634079726213
