source,state,code,count
eBird Australia,Australian Capital Territory,ACT,328479
eBird Australia,New South Wales,NSW,2150722
eBird Australia,Northern Territory,NT,306294
eBird Australia,Queensland,QLD,2122784
eBird Australia,South Australia,SA,334082
eBird Australia,Tasmania,TAS,366491
eBird Australia,Victoria,VIC,2125461
eBird Australia,Western Australia,WA,574228
"BirdLife Australia, Birdata",Australian Capital Territory,ACT,6447
"BirdLife Australia, Birdata",New South Wales,NSW,241885
"BirdLife Australia, Birdata",Northern Territory,NT,16225
"BirdLife Australia, Birdata",Queensland,QLD,136599
"BirdLife Australia, Birdata",South Australia,SA,124813
"BirdLife Australia, Birdata",Tasmania,TAS,85255
"BirdLife Australia, Birdata",Victoria,VIC,237767
"BirdLife Australia, Birdata",Western Australia,WA,108203
iNaturalist Australia,Australian Capital Territory,ACT,8937
iNaturalist Australia,New South Wales,NSW,63386
iNaturalist Australia,Northern Territory,NT,7680
iNaturalist Australia,Queensland,QLD,75991
iNaturalist Australia,South Australia,SA,31424
iNaturalist Australia,Tasmania,TAS,11322
iNaturalist Australia,Victoria,VIC,87273
iNaturalist Australia,Western Australia,WA,24174
