latitude,longitude,count,cell
-10.0,129.0,23,"-10,129"
-10.0,130.0,22,"-10,130"
-10.0,131.0,31,"-10,131"
-10.0,135.0,54,"-10,135"
-10.0,137.0,48,"-10,137"
-10.0,138.0,33,"-10,138"
-10.0,143.0,27,"-10,143"
-11.0,127.0,2,"-11,127"
-11.0,129.0,214,"-11,129"
-11.0,130.0,615,"-11,130"
-11.0,131.0,466,"-11,131"
-11.0,132.0,878,"-11,132"
-11.0,133.0,171,"-11,133"
-11.0,135.0,2,"-11,135"
-11.0,136.0,14,"-11,136"
-11.0,138.0,1,"-11,138"
-11.0,141.0,30,"-11,141"
-11.0,142.0,5168,"-11,142"
-11.0,143.0,427,"-11,143"
-11.0,144.0,18,"-11,144"
-12.0,123.0,202,"-12,123"
-12.0,124.0,3,"-12,124"
-12.0,127.0,10,"-12,127"
-12.0,129.0,71,"-12,129"
-12.0,130.0,465,"-12,130"
-12.0,131.0,125808,"-12,131"
-12.0,132.0,329,"-12,132"
-12.0,133.0,4672,"-12,133"
-12.0,134.0,81,"-12,134"
-12.0,135.0,498,"-12,135"
-12.0,136.0,1618,"-12,136"
-12.0,137.0,3436,"-12,137"
-12.0,138.0,1,"-12,138"
-12.0,142.0,435,"-12,142"
-12.0,143.0,1020,"-12,143"
-12.0,144.0,88,"-12,144"
-13.0,123.0,10,"-13,123"
-13.0,127.0,9,"-13,127"
-13.0,128.0,22,"-13,128"
-13.0,129.0,2,"-13,129"
-13.0,130.0,1423,"-13,130"
-13.0,131.0,29540,"-13,131"
-13.0,132.0,6178,"-13,132"
-13.0,133.0,22972,"-13,133"
-13.0,135.0,12,"-13,135"
-13.0,136.0,770,"-13,136"
-13.0,142.0,2471,"-13,142"
-13.0,143.0,21133,"-13,143"
-13.0,144.0,140,"-13,144"
-14.0,121.0,9,"-14,121"
-14.0,122.0,67,"-14,122"
-14.0,123.0,5,"-14,123"
-14.0,124.0,545,"-14,124"
-14.0,125.0,71,"-14,125"
-14.0,126.0,800,"-14,126"
-14.0,127.0,666,"-14,127"
-14.0,128.0,37,"-14,128"
-14.0,129.0,10,"-14,129"
-14.0,130.0,75,"-14,130"
-14.0,131.0,5167,"-14,131"
-14.0,132.0,30275,"-14,132"
-14.0,133.0,79,"-14,133"
-14.0,134.0,128,"-14,134"
-14.0,135.0,2,"-14,135"
-14.0,136.0,1035,"-14,136"
-14.0,137.0,176,"-14,137"
-14.0,142.0,5,"-14,142"
-14.0,143.0,810,"-14,143"
-14.0,144.0,215,"-14,144"
-14.0,145.0,3,"-14,145"
-14.0,146.0,28,"-14,146"
-15.0,121.0,97,"-15,121"
-15.0,123.0,236,"-15,123"
-15.0,125.0,699,"-15,125"
-15.0,126.0,2954,"-15,126"
-15.0,127.0,22,"-15,127"
-15.0,128.0,1994,"-15,128"
-15.0,129.0,500,"-15,129"
-15.0,130.0,440,"-15,130"
-15.0,131.0,401,"-15,131"
-15.0,132.0,13127,"-15,132"
-15.0,133.0,6543,"-15,133"
-15.0,134.0,33,"-15,134"
-15.0,135.0,796,"-15,135"
-15.0,136.0,13,"-15,136"
-15.0,142.0,525,"-15,142"
-15.0,143.0,77,"-15,143"
-15.0,144.0,8566,"-15,144"
-15.0,145.0,4525,"-15,145"
-15.0,146.0,94,"-15,146"
-16.0,121.0,55,"-16,121"
-16.0,123.0,2849,"-16,123"
-16.0,124.0,819,"-16,124"
-16.0,125.0,217,"-16,125"
-16.0,126.0,1992,"-16,126"
-16.0,127.0,760,"-16,127"
-16.0,128.0,9482,"-16,128"
-16.0,129.0,15495,"-16,129"
-16.0,130.0,4958,"-16,130"
-16.0,131.0,4695,"-16,131"
-16.0,132.0,235,"-16,132"
-16.0,133.0,2090,"-16,133"
-16.0,134.0,124,"-16,134"
-16.0,135.0,50,"-16,135"
-16.0,136.0,992,"-16,136"
-16.0,137.0,386,"-16,137"
-16.0,140.0,15,"-16,140"
-16.0,143.0,34,"-16,143"
-16.0,144.0,274,"-16,144"
-16.0,145.0,38803,"-16,145"
-16.0,146.0,271,"-16,146"
-17.0,121.0,29,"-17,121"
-17.0,122.0,878,"-17,122"
-17.0,123.0,2032,"-17,123"
-17.0,124.0,2846,"-17,124"
-17.0,125.0,4546,"-17,125"
-17.0,126.0,1973,"-17,126"
-17.0,127.0,83,"-17,127"
-17.0,128.0,1262,"-17,128"
-17.0,129.0,208,"-17,129"
-17.0,131.0,230,"-17,131"
-17.0,132.0,254,"-17,132"
-17.0,133.0,1856,"-17,133"
-17.0,134.0,24,"-17,134"
-17.0,135.0,67,"-17,135"
-17.0,136.0,230,"-17,136"
-17.0,137.0,98,"-17,137"
-17.0,138.0,321,"-17,138"
-17.0,139.0,43,"-17,139"
-17.0,140.0,118,"-17,140"
-17.0,141.0,3463,"-17,141"
-17.0,142.0,15,"-17,142"
-17.0,144.0,90,"-17,144"
-17.0,145.0,137994,"-17,145"
-17.0,146.0,257984,"-17,146"
-17.0,148.0,11,"-17,148"
-18.0,119.0,7,"-18,119"
-18.0,120.0,3,"-18,120"
-18.0,122.0,69629,"-18,122"
-18.0,123.0,4471,"-18,123"
-18.0,124.0,585,"-18,124"
-18.0,125.0,645,"-18,125"
-18.0,126.0,2933,"-18,126"
-18.0,127.0,3,"-18,127"
-18.0,128.0,721,"-18,128"
-18.0,129.0,90,"-18,129"
-18.0,130.0,28,"-18,130"
-18.0,131.0,110,"-18,131"
-18.0,133.0,1,"-18,133"
-18.0,134.0,1298,"-18,134"
-18.0,136.0,91,"-18,136"
-18.0,138.0,88,"-18,138"
-18.0,139.0,142,"-18,139"
-18.0,140.0,440,"-18,140"
-18.0,141.0,3006,"-18,141"
-18.0,142.0,409,"-18,142"
-18.0,143.0,5891,"-18,143"
-18.0,144.0,2756,"-18,144"
-18.0,145.0,5474,"-18,145"
-18.0,146.0,19811,"-18,146"
-18.0,147.0,6,"-18,147"
-19.0,118.0,2,"-19,118"
-19.0,121.0,475,"-19,121"
-19.0,122.0,745,"-19,122"
-19.0,123.0,488,"-19,123"
-19.0,126.0,55,"-19,126"
-19.0,127.0,522,"-19,127"
-19.0,128.0,113,"-19,128"
-19.0,129.0,6,"-19,129"
-19.0,134.0,1022,"-19,134"
-19.0,135.0,1280,"-19,135"
-19.0,136.0,727,"-19,136"
-19.0,137.0,27,"-19,137"
-19.0,138.0,5,"-19,138"
-19.0,139.0,604,"-19,139"
-19.0,140.0,135,"-19,140"
-19.0,141.0,26,"-19,141"
-19.0,142.0,1,"-19,142"
-19.0,143.0,1711,"-19,143"
-19.0,144.0,969,"-19,144"
-19.0,145.0,419,"-19,145"
-19.0,146.0,23724,"-19,146"
-19.0,147.0,69972,"-19,147"
-19.0,148.0,12,"-19,148"
-19.0,152.0,1,"-19,152"
-20.0,115.0,20,"-20,115"
-20.0,116.0,261,"-20,116"
-20.0,117.0,11,"-20,117"
-20.0,118.0,5,"-20,118"
-20.0,119.0,3899,"-20,119"
-20.0,120.0,672,"-20,120"
-20.0,121.0,1191,"-20,121"
-20.0,122.0,4,"-20,122"
-20.0,128.0,375,"-20,128"
-20.0,129.0,13,"-20,129"
-20.0,130.0,104,"-20,130"
-20.0,133.0,2,"-20,133"
-20.0,134.0,4286,"-20,134"
-20.0,135.0,10,"-20,135"
-20.0,136.0,854,"-20,136"
-20.0,137.0,582,"-20,137"
-20.0,138.0,1216,"-20,138"
-20.0,139.0,3136,"-20,139"
-20.0,140.0,348,"-20,140"
-20.0,141.0,12,"-20,141"
-20.0,142.0,17,"-20,142"
-20.0,143.0,2,"-20,143"
-20.0,144.0,476,"-20,144"
-20.0,145.0,218,"-20,145"
-20.0,146.0,1815,"-20,146"
-20.0,147.0,5598,"-20,147"
-20.0,148.0,5476,"-20,148"
-20.0,149.0,4375,"-20,149"
-21.0,113.0,3,"-21,113"
-21.0,115.0,151,"-21,115"
-21.0,116.0,229,"-21,116"
-21.0,117.0,2432,"-21,117"
-21.0,118.0,424,"-21,118"
-21.0,119.0,452,"-21,119"
-21.0,120.0,1539,"-21,120"
-21.0,121.0,230,"-21,121"
-21.0,122.0,76,"-21,122"
-21.0,128.0,6,"-21,128"
-21.0,130.0,390,"-21,130"
-21.0,131.0,7,"-21,131"
-21.0,133.0,9,"-21,133"
-21.0,134.0,524,"-21,134"
-21.0,137.0,31,"-21,137"
-21.0,138.0,54,"-21,138"
-21.0,139.0,1377,"-21,139"
-21.0,140.0,10283,"-21,140"
-21.0,141.0,474,"-21,141"
-21.0,142.0,516,"-21,142"
-21.0,143.0,282,"-21,143"
-21.0,144.0,1338,"-21,144"
-21.0,145.0,1779,"-21,145"
-21.0,146.0,100,"-21,146"
-21.0,147.0,239,"-21,147"
-21.0,148.0,3910,"-21,148"
-21.0,149.0,24393,"-21,149"
-21.0,150.0,4,"-21,150"
-21.0,151.0,4,"-21,151"
-22.0,114.0,5482,"-22,114"
-22.0,115.0,306,"-22,115"
-22.0,116.0,395,"-22,116"
-22.0,117.0,442,"-22,117"
-22.0,118.0,532,"-22,118"
-22.0,119.0,612,"-22,119"
-22.0,120.0,258,"-22,120"
-22.0,121.0,234,"-22,121"
-22.0,122.0,45,"-22,122"
-22.0,123.0,26,"-22,123"
-22.0,124.0,25,"-22,124"
-22.0,125.0,48,"-22,125"
-22.0,126.0,14,"-22,126"
-22.0,128.0,3,"-22,128"
-22.0,131.0,97,"-22,131"
-22.0,132.0,244,"-22,132"
-22.0,133.0,92,"-22,133"
-22.0,134.0,161,"-22,134"
-22.0,135.0,109,"-22,135"
-22.0,137.0,25,"-22,137"
-22.0,138.0,73,"-22,138"
-22.0,139.0,153,"-22,139"
-22.0,140.0,271,"-22,140"
-22.0,141.0,67,"-22,141"
-22.0,142.0,659,"-22,142"
-22.0,143.0,3015,"-22,143"
-22.0,144.0,8,"-22,144"
-22.0,145.0,124,"-22,145"
-22.0,146.0,82,"-22,146"
-22.0,147.0,417,"-22,147"
-22.0,148.0,764,"-22,148"
-22.0,149.0,1871,"-22,149"
-22.0,150.0,4436,"-22,150"
-22.0,151.0,3,"-22,151"
-22.0,152.0,1,"-22,152"
-22.0,153.0,3,"-22,153"
-23.0,114.0,1085,"-23,114"
-23.0,115.0,141,"-23,115"
-23.0,116.0,107,"-23,116"
-23.0,117.0,403,"-23,117"
-23.0,118.0,857,"-23,118"
-23.0,119.0,1524,"-23,119"
-23.0,120.0,2212,"-23,120"
-23.0,121.0,84,"-23,121"
-23.0,122.0,13,"-23,122"
-23.0,123.0,90,"-23,123"
-23.0,124.0,34,"-23,124"
-23.0,125.0,1,"-23,125"
-23.0,126.0,40,"-23,126"
-23.0,127.0,965,"-23,127"
-23.0,128.0,102,"-23,128"
-23.0,129.0,263,"-23,129"
-23.0,130.0,73,"-23,130"
-23.0,131.0,5709,"-23,131"
-23.0,132.0,1011,"-23,132"
-23.0,133.0,258,"-23,133"
-23.0,134.0,360,"-23,134"
-23.0,135.0,99,"-23,135"
-23.0,136.0,85,"-23,136"
-23.0,137.0,96,"-23,137"
-23.0,138.0,88,"-23,138"
-23.0,139.0,25,"-23,139"
-23.0,140.0,2848,"-23,140"
-23.0,141.0,320,"-23,141"
-23.0,142.0,2802,"-23,142"
-23.0,143.0,3252,"-23,143"
-23.0,144.0,3600,"-23,144"
-23.0,145.0,1243,"-23,145"
-23.0,146.0,647,"-23,146"
-23.0,147.0,2,"-23,147"
-23.0,148.0,2772,"-23,148"
-23.0,149.0,631,"-23,149"
-23.0,150.0,9786,"-23,150"
-23.0,151.0,13730,"-23,151"
-23.0,152.0,1056,"-23,152"
-23.0,153.0,1,"-23,153"
-24.0,113.0,129,"-24,113"
-24.0,114.0,123,"-24,114"
-24.0,115.0,2,"-24,115"
-24.0,116.0,239,"-24,116"
-24.0,117.0,417,"-24,117"
-24.0,118.0,9,"-24,118"
-24.0,119.0,448,"-24,119"
-24.0,120.0,990,"-24,120"
-24.0,122.0,19,"-24,122"
-24.0,123.0,14,"-24,123"
-24.0,125.0,2,"-24,125"
-24.0,129.0,97,"-24,129"
-24.0,131.0,193,"-24,131"
-24.0,132.0,1558,"-24,132"
-24.0,133.0,4686,"-24,133"
-24.0,134.0,19178,"-24,134"
-24.0,135.0,38,"-24,135"
-24.0,137.0,53,"-24,137"
-24.0,138.0,620,"-24,138"
-24.0,139.0,829,"-24,139"
-24.0,140.0,1166,"-24,140"
-24.0,141.0,2655,"-24,141"
-24.0,142.0,106,"-24,142"
-24.0,143.0,362,"-24,143"
-24.0,144.0,160,"-24,144"
-24.0,145.0,3245,"-24,145"
-24.0,146.0,276,"-24,146"
-24.0,147.0,169,"-24,147"
-24.0,148.0,1920,"-24,148"
-24.0,149.0,1251,"-24,149"
-24.0,150.0,1436,"-24,150"
-24.0,151.0,14657,"-24,151"
-24.0,152.0,6502,"-24,152"
-24.0,153.0,1945,"-24,153"
-25.0,112.0,1,"-25,112"
-25.0,113.0,66,"-25,113"
-25.0,114.0,2029,"-25,114"
-25.0,115.0,573,"-25,115"
-25.0,116.0,25,"-25,116"
-25.0,117.0,43,"-25,117"
-25.0,119.0,82,"-25,119"
-25.0,120.0,21,"-25,120"
-25.0,121.0,59,"-25,121"
-25.0,122.0,19,"-25,122"
-25.0,124.0,7,"-25,124"
-25.0,125.0,23,"-25,125"
-25.0,128.0,35,"-25,128"
-25.0,129.0,173,"-25,129"
-25.0,130.0,10,"-25,130"
-25.0,131.0,5869,"-25,131"
-25.0,132.0,570,"-25,132"
-25.0,133.0,757,"-25,133"
