scientific,name,month,label,season,count,rank,per10k,relative,topSeven
Merops ornatus,Rainbow Bee-eater,1,Jan,Summer,2655,87,32.28937,0.82018,False
Gymnorhina tibicen,Australian Magpie,1,Jan,Summer,20779,1,252.70842,1.01591,True
Grallina cyanoleuca,Magpie-lark,1,Jan,Summer,16331,2,198.61308,1.01077,True
Hirundo neoxena,Welcome Swallow,1,Jan,Summer,13474,6,163.86704,0.91772,True
Trichoglossus moluccanus,Rainbow Lorikeet,1,Jan,Summer,15323,3,186.35406,1.06032,True
Rhipidura leucophrys,Willie Wagtail,1,Jan,Summer,13525,5,164.48729,1.00133,True
Malurus cyaneus,Superb Fairy-wren,1,Jan,Summer,15122,4,183.90956,1.12197,True
Manorina melanocephala,Noisy Miner,1,Jan,Summer,12782,8,155.45113,1.02292,True
Eolophus roseicapilla,Galah,1,Jan,Summer,9939,15,120.87535,0.87809,False
Dacelo novaeguineae,Laughing Kookaburra,1,Jan,Summer,10885,11,132.38034,1.03932,False
Cacatua galerita,Sulphur-crested Cockatoo,1,Jan,Summer,11497,10,139.82331,1.02931,False
Zosterops lateralis,Silvereye,1,Jan,Summer,8826,21,107.33936,1.1624,False
Calidris ruficollis,Red-necked Stint,1,Jan,Summer,1054,165,12.81845,1.20024,False
Hirundapus caudacutus,White-throated Needletail,1,Jan,Summer,966,171,11.74822,2.61446,False
Eudynamys orientalis,Eastern Koel,1,Jan,Summer,4375,59,53.20753,2.08023,False
Lathamus discolor,Swift Parrot,1,Jan,Summer,80,438,0.97294,0.45918,False
Merops ornatus,Rainbow Bee-eater,2,Feb,Summer,2045,84,32.1361,0.81629,False
Gymnorhina tibicen,Australian Magpie,2,Feb,Summer,16939,1,266.18748,1.0701,True
Grallina cyanoleuca,Magpie-lark,2,Feb,Summer,12978,2,203.94245,1.03789,True
Hirundo neoxena,Welcome Swallow,2,Feb,Summer,10601,5,166.58914,0.93297,True
Trichoglossus moluccanus,Rainbow Lorikeet,2,Feb,Summer,12271,3,192.83231,1.09718,True
Rhipidura leucophrys,Willie Wagtail,2,Feb,Summer,9763,9,153.42041,0.93396,True
Malurus cyaneus,Superb Fairy-wren,2,Feb,Summer,11764,4,184.86508,1.1278,True
Manorina melanocephala,Noisy Miner,2,Feb,Summer,10490,6,164.84484,1.08473,True
Eolophus roseicapilla,Galah,2,Feb,Summer,7264,20,114.14994,0.82924,False
Dacelo novaeguineae,Laughing Kookaburra,2,Feb,Summer,8360,12,131.37301,1.03141,False
Cacatua galerita,Sulphur-crested Cockatoo,2,Feb,Summer,9317,10,146.41176,1.07781,False
Zosterops lateralis,Silvereye,2,Feb,Summer,7111,21,111.74563,1.21011,False
Calidris ruficollis,Red-necked Stint,2,Feb,Summer,855,160,13.43588,1.25805,False
Hirundapus caudacutus,White-throated Needletail,2,Feb,Summer,853,161,13.40445,2.98303,False
Eudynamys orientalis,Eastern Koel,2,Feb,Summer,1752,93,27.53176,1.0764,False
Lathamus discolor,Swift Parrot,2,Feb,Summer,78,424,1.22573,0.57849,False
Merops ornatus,Rainbow Bee-eater,3,Mar,Autumn,2367,76,34.47985,0.87582,False
Gymnorhina tibicen,Australian Magpie,3,Mar,Autumn,18773,1,273.46436,1.09935,True
Grallina cyanoleuca,Magpie-lark,3,Mar,Autumn,14126,2,205.77199,1.0472,True
Hirundo neoxena,Welcome Swallow,3,Mar,Autumn,12479,4,181.78031,1.01804,True
Trichoglossus moluccanus,Rainbow Lorikeet,3,Mar,Autumn,12574,3,183.16416,1.04217,True
Rhipidura leucophrys,Willie Wagtail,3,Mar,Autumn,11604,6,169.03427,1.02901,True
Malurus cyaneus,Superb Fairy-wren,3,Mar,Autumn,11673,5,170.03939,1.03735,True
Manorina melanocephala,Noisy Miner,3,Mar,Autumn,11060,7,161.10988,1.06015,True
Eolophus roseicapilla,Galah,3,Mar,Autumn,8135,17,118.50171,0.86085,False
Dacelo novaeguineae,Laughing Kookaburra,3,Mar,Autumn,8766,14,127.69342,1.00252,False
Cacatua galerita,Sulphur-crested Cockatoo,3,Mar,Autumn,9584,11,139.60914,1.02773,False
Zosterops lateralis,Silvereye,3,Mar,Autumn,7690,21,112.01944,1.21308,False
Calidris ruficollis,Red-necked Stint,3,Mar,Autumn,786,170,11.44958,1.07207,False
Hirundapus caudacutus,White-throated Needletail,3,Mar,Autumn,708,182,10.31336,2.29514,False
Eudynamys orientalis,Eastern Koel,3,Mar,Autumn,561,205,8.17203,0.3195,False
Lathamus discolor,Swift Parrot,3,Mar,Autumn,78,429,1.13622,0.53624,False
Merops ornatus,Rainbow Bee-eater,4,Apr,Autumn,2196,87,30.55866,0.77622,False
Gymnorhina tibicen,Australian Magpie,4,Apr,Autumn,20271,1,282.08311,1.134,True
Grallina cyanoleuca,Magpie-lark,4,Apr,Autumn,14968,2,208.28869,1.06001,True
Hirundo neoxena,Welcome Swallow,4,Apr,Autumn,14537,3,202.29106,1.13291,True
Trichoglossus moluccanus,Rainbow Lorikeet,4,Apr,Autumn,13584,4,189.0295,1.07554,True
Rhipidura leucophrys,Willie Wagtail,4,Apr,Autumn,13322,5,185.38361,1.12854,True
Malurus cyaneus,Superb Fairy-wren,4,Apr,Autumn,11879,7,165.3034,1.00846,True
Manorina melanocephala,Noisy Miner,4,Apr,Autumn,11726,8,163.17432,1.07374,True
Eolophus roseicapilla,Galah,4,Apr,Autumn,9329,13,129.81862,0.94306,False
Dacelo novaeguineae,Laughing Kookaburra,4,Apr,Autumn,8358,18,116.30658,0.91312,False
Cacatua galerita,Sulphur-crested Cockatoo,4,Apr,Autumn,9744,12,135.5936,0.99817,False
Zosterops lateralis,Silvereye,4,Apr,Autumn,8219,19,114.37231,1.23856,False
Calidris ruficollis,Red-necked Stint,4,Apr,Autumn,692,181,9.62959,0.90165,False
Hirundapus caudacutus,White-throated Needletail,4,Apr,Autumn,70,441,0.97409,0.21678,False
Eudynamys orientalis,Eastern Koel,4,Apr,Autumn,54,469,0.75144,0.02938,False
Lathamus discolor,Swift Parrot,4,Apr,Autumn,212,307,2.95011,1.39231,False
