scientific,name,count
Gymnorhina tibicen,Australian Magpie,238202
Grallina cyanoleuca,Magpie-lark,188164
Hirundo neoxena,Welcome Swallow,170986
Trichoglossus moluccanus,Rainbow Lorikeet,168300
Rhipidura leucophrys,Willie Wagtail,157302
Malurus cyaneus,Superb Fairy-wren,156965
Manorina melanocephala,Noisy Miner,145524
Anas superciliosa,Anas superciliosa,134765
Vanellus miles,Vanellus miles,134591
Rhipidura albiscapa,Rhipidura albiscapa,134370
Eolophus roseicapilla,Galah,131819
Cacatua galerita,Sulphur-crested Cockatoo,130081
Anthochaera carunculata,Anthochaera carunculata,122544
Dacelo novaeguineae,Laughing Kookaburra,121971
Threskiornis moluccus,Threskiornis moluccus,114296
Ocyphaps lophotes,Ocyphaps lophotes,105465
Microcarbo melanoleucos,Microcarbo melanoleucos,101568
Strepera graculina,Strepera graculina,101219
Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae,99813
Chenonetta jubata,Chenonetta jubata,97410
Corvus coronoides,Corvus coronoides,96308
Cracticus torquatus,Cracticus torquatus,93588
Colluricincla harmonica,Colluricincla harmonica,90366
Egretta novaehollandiae,Egretta novaehollandiae,89313
Zosterops lateralis,Silvereye,88427
Acridotheres tristis,Acridotheres tristis,81185
Fulica atra,Fulica atra,81154
Coracina novaehollandiae,Coracina novaehollandiae,80457
Porphyrio porphyrio,Porphyrio porphyrio,79030
Gallinula tenebrosa,Gallinula tenebrosa,78347
Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,77603
Acanthiza pusilla,Acanthiza pusilla,77416
Corvus mellori,Corvus mellori,72869
Sturnus vulgaris,Sturnus vulgaris,70461
Pardalotus striatus,Pardalotus striatus,70150
Spilopelia chinensis,Spilopelia chinensis,69966
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,67904
Pelecanus conspicillatus,Pelecanus conspicillatus,67289
Platycercus elegans,Platycercus elegans,65967
Turdus merula,Turdus merula,64895
Corvus orru,Corvus orru,64400
Anas gracilis,Anas gracilis,63470
Pardalotus punctatus,Pardalotus punctatus,63400
Sericornis frontalis,Sericornis frontalis,62333
Platycercus eximius,Platycercus eximius,61622
Cacatua sanguinea,Cacatua sanguinea,61547
Cygnus atratus,Cygnus atratus,58923
Caligavis chrysops,Caligavis chrysops,57491
Ardea alba,Ardea alba,56844
Pachycephala rufiventris,Pachycephala rufiventris,56158
Lichmera indistincta,Lichmera indistincta,55062
Meliphaga lewinii,Meliphaga lewinii,54503
Eopsaltria australis,Eopsaltria australis,54388
Neochmia temporalis,Neochmia temporalis,52984
Ptilotula penicillata,Ptilotula penicillata,52234
Tachybaptus novaehollandiae,Tachybaptus novaehollandiae,51564
Anas castanea,Anas castanea,51340
Anhinga novaehollandiae,Anhinga novaehollandiae,49862
Passer domesticus,Passer domesticus,48382
Sphecotheres vieilloti,Sphecotheres vieilloti,48153
Columba livia,Columba livia,47751
Psophodes olivaceus,Psophodes olivaceus,47678
Cracticus nigrogularis,Cracticus nigrogularis,47405
Anthochaera chrysoptera,Anthochaera chrysoptera,47370
Haliastur sphenurus,Haliastur sphenurus,46518
Geopelia humeralis,Geopelia humeralis,45991
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,44959
Geopelia placida,Geopelia placida,44033
Phalacrocorax carbo,Phalacrocorax carbo,42418
Todiramphus sanctus,Todiramphus sanctus,41266
Threskiornis spinicollis,Threskiornis spinicollis,40170
Alisterus scapularis,Alisterus scapularis,39551
Cormobates leucophaea,Cormobates leucophaea,39237
Thalasseus bergii,Thalasseus bergii,38810
Merops ornatus,Rainbow Bee-eater,37699
Entomyzon cyanotis,Entomyzon cyanotis,36588
Psephotus haematonotus,Psephotus haematonotus,35943
Smicrornis brevirostris,Smicrornis brevirostris,33804
Philemon corniculatus,Philemon corniculatus,33475
Gavicalis virescens,Gavicalis virescens,32930
Phaps chalcoptera,Phaps chalcoptera,32076
Oriolus sagittatus,Oriolus sagittatus,31889
Alectura lathami,Alectura lathami,31867
Dicaeum hirundinaceum,Dicaeum hirundinaceum,30957
Zanda funerea,Zanda funerea,30940
Petrochelidon nigricans,Petrochelidon nigricans,30303
Falco cenchroides,Falco cenchroides,29918
Platalea regia,Platalea regia,29408
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,29158
Acrocephalus australis,Acrocephalus australis,28509
Poliocephalus poliocephalus,Poliocephalus poliocephalus,28270
Aythya australis,Aythya australis,28230
Elanus axillaris,Elanus axillaris,28032
Phalacrocorax varius,Phalacrocorax varius,27650
Haematopus longirostris,Haematopus longirostris,27517
Haliaeetus leucogaster,Haliaeetus leucogaster,27215
Himantopus himantopus,Himantopus himantopus,26548
Cacomantis flabelliformis,Cacomantis flabelliformis,25817
Aquila audax,Aquila audax,25417
Cisticola exilis,Cisticola exilis,25140
Eudynamys orientalis,Eastern Koel,24493
Artamus leucorynchus,Artamus leucorynchus,23998
Dicrurus bracteatus,Dicrurus bracteatus,23574
Barnardius zonarius,Barnardius zonarius,23353
Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,23273
Egretta garzetta,Egretta garzetta,22886
Philemon citreogularis,Philemon citreogularis,22617
Strepera versicolor,Strepera versicolor,22229
Corvus tasmanicus,Corvus tasmanicus,21833
Trichoglossus chlorolepidotus,Trichoglossus chlorolepidotus,21145
Falco berigora,Falco berigora,20764
Acanthiza lineata,Acanthiza lineata,20651
Petrochelidon ariel,Petrochelidon ariel,20542
Acanthiza nana,Acanthiza nana,20370
Cacatua tenuirostris,Cacatua tenuirostris,20191
Milvus migrans,Milvus migrans,20095
Pachycephala pectoralis,Pachycephala pectoralis,19900
Acanthagenys rufogularis,Acanthagenys rufogularis,19556
Corcorax melanorhamphos,Corcorax melanorhamphos,19487
Ardea pacifica,Ardea pacifica,19277
Nesoptilotis leucotis,Nesoptilotis leucotis,18820
Carduelis carduelis,Carduelis carduelis,18770
Tadorna tadornoides,Tadorna tadornoides,18770
Anthus novaeseelandiae,Anthus novaeseelandiae,18612
Malurus melanocephalus,Malurus melanocephalus,18499
Circus approximans,Circus approximans,18023
Stizoptera bichenovii,Stizoptera bichenovii,17264
Poodytes gramineus,Poodytes gramineus,17035
Podargus strigoides,Podargus strigoides,17010
Larus pacificus,Larus pacificus,16685
Myzomela sanguinolenta,Myzomela sanguinolenta,16552
Artamus cyanopterus,Artamus cyanopterus,16503
Lalage leucomela,Lalage leucomela,16240
Accipiter fasciatus,Accipiter fasciatus,16228
Ardea intermedia,Ardea intermedia,16006
Myiagra rubecula,Myiagra rubecula,15931
Chalcites lucidus,Chalcites lucidus,15641
Hydroprogne caspia,Hydroprogne caspia,15294
Gerygone mouki,Gerygone mouki,15185
Macropygia phasianella,Macropygia phasianella,15116
Centropus phasianinus,Centropus phasianinus,14482
Malurus lamberti,Malurus lamberti,14474
Scythrops novaehollandiae,Scythrops novaehollandiae,14453
Calyptorhynchus banksii,Calyptorhynchus banksii,14441
Melithreptus lunatus,Melithreptus lunatus,14318
Melithreptus albogularis,Melithreptus albogularis,14230
Platycercus adscitus,Platycercus adscitus,14203
Rhipidura rufifrons,Rhipidura rufifrons,14178
Eurystomus orientalis,Eurystomus orientalis,13704
Petroica boodang,Petroica boodang,13624
Platalea flavipes,Platalea flavipes,13132
Manorina flavigula,Manorina flavigula,13015
Coracina papuensis,Coracina papuensis,12874
Gerygone olivacea,Gerygone olivacea,12547
Manorina melanophrys,Manorina melanophrys,12538
Anseranas semipalmata,Anseranas semipalmata,12223
Taeniopygia guttata,Taeniopygia guttata,12095
Burhinus grallarius,Burhinus grallarius,12014
Spatula rhynchotis,Spatula rhynchotis,11979
Pandion haliaetus,Pandion haliaetus,11870
Nycticorax caledonicus,Nycticorax caledonicus,11856
Haematopus fuliginosus,Haematopus fuliginosus,11831
Charadrius ruficapillus,Charadrius ruficapillus,11695
Melithreptus brevirostris,Melithreptus brevirostris,11601
Hypotaenidia philippensis,Hypotaenidia philippensis,11412
Synoicus ypsilophora,Synoicus ypsilophora,11333
Climacteris picumnus,Climacteris picumnus,11249
Leucosarcia melanoleuca,Leucosarcia melanoleuca,11144
Biziura lobata,Biziura lobata,11131
Limosa lapponica,Limosa lapponica,10972
Phylidonyris niger,Phylidonyris niger,10899
Platycercus caledonicus,Platycercus caledonicus,10880
Todiramphus macleayii,Todiramphus macleayii,10776
Colluricincla rufogaster,Colluricincla rufogaster,10573
Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,10420
Microeca fascinans,Microeca fascinans,10412
Podiceps cristatus,Podiceps cristatus,10403
Morus serrator,Morus serrator,10373
Haliastur indus,Haliastur indus,10288
Calidris ruficollis,Red-necked Stint,10227
Megapodius reinwardt,Megapodius reinwardt,10101
Dromaius novaehollandiae,Dromaius novaehollandiae,10051
Ducula spilorrhoa,Ducula spilorrhoa,10051
Cincloramphus timoriensis,Cincloramphus timoriensis,9928
Gerygone fusca,Gerygone fusca,9922
Acanthiza reguloides,Acanthiza reguloides,9910
Cacomantis variolosus,Cacomantis variolosus,9908
Larus dominicanus,Larus dominicanus,9847
Struthidea cinerea,Struthidea cinerea,9809
Pomatostomus temporalis,Pomatostomus temporalis,9567
Pomatostomus superciliosus,Pomatostomus superciliosus,9511
Tribonyx mortierii,Tribonyx mortierii,9509
Anthochaera paradoxa,Anthochaera paradoxa,9474
Myiagra inquieta,Myiagra inquieta,9460
Malacorhynchus membranaceus,Malacorhynchus membranaceus,9446
Gelochelidon nilotica,Gelochelidon nilotica,9404
Numenius madagascariensis,Eastern Curlew,9373
Epthianura albifrons,Epthianura albifrons,9281
Irediparra gallinacea,Irediparra gallinacea,9226
Aprosmictus erythropterus,Aprosmictus erythropterus,9204
Nesoptilotis flavicollis,Nesoptilotis flavicollis,9199
Calidris acuminata,Calidris acuminata,9145
Chlamydera nuchalis,Chlamydera nuchalis,9109
Cincloramphus mathewsi,Cincloramphus mathewsi,8977
Falco longipennis,Falco longipennis,8968
Sericornis magnirostra,Sericornis magnirostra,8906
Oriolus flavocinctus,Oriolus flavocinctus,8898
Philemon buceroides,Philemon buceroides,8837
Dendrocygna eytoni,Dendrocygna eytoni,8794
Lonchura castaneothorax,Lonchura castaneothorax,8730
Malurus splendens,Malurus splendens,8669
Stomiopera unicolor,Stomiopera unicolor,8605
Plectorhyncha lanceolata,Plectorhyncha lanceolata,8555
Symposiachrus trivirgatus,Symposiachrus trivirgatus,8458
Menura novaehollandiae,Menura novaehollandiae,8209
Callocephalon fimbriatum,Callocephalon fimbriatum,8201
Numenius phaeopus,Numenius phaeopus,8059
Alauda arvensis,Alauda arvensis,7991
Columba leucomela,Columba leucomela,7961
Edolisoma tenuirostre,Edolisoma tenuirostre,7844
Lalage tricolor,Lalage tricolor,7699
Petroica goodenovii,Petroica goodenovii,7641
Dacelo leachii,Dacelo leachii,7600
Antigone rubicunda,Antigone rubicunda,7537
Butorides striata,Butorides striata,7495
Monarcha melanopsis,Monarcha melanopsis,7494
Ceyx azureus,Ceyx azureus,7492
Porzana fluminea,Porzana fluminea,7486
Acanthiza apicalis,Acanthiza apicalis,7419
Chalcites basalis,Chalcites basalis,7397
Chlidonias hybrida,Chlidonias hybrida,7390
Malurus assimilis,Malurus assimilis,7332
Trichoglossus rubritorquis,Trichoglossus rubritorquis,7274
Nymphicus hollandicus,Nymphicus hollandicus,7257
Petroica phoenicea,Petroica phoenicea,7216
Artamus cinereus,Artamus cinereus,7020
Myzomela obscura,Myzomela obscura,6870
Ninox boobook,Ninox boobook,6771
