scientific,name,status,states,infraspecies,profile
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,"[""SA""]",rosinae,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67080
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,"[""SA""]",whitei,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=80759
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,"[""TAS""]",magnirostris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91709
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,"[""TAS""]",greeniana,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82329
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,"[""SA"", ""QLD"", ""NSW""]",barbatus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67065
Amytornis dorotheae,Carpentarian Grasswren,Endangered,"[""NT"", ""QLD""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=558
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,"[""SA""]",merrotsyi,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86269
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,"[""SA""]",pedleri,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86270
Amytornis modestus,Thick-billed Grasswren,Vulnerable,"[""NT"", ""SA"", ""NSW""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84121
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,"[""NSW""]",obscurior,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86183
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,"[""SA"", ""NSW"", ""VIC""]",howei,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91648
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,"[""NSW""]",striatus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26001
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,"[""SA""]",myall,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64454
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,"[""NT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=564
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,"[""WA""]",melanops,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26000
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Vulnerable,"[""SA""]",halmaturina,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=80437
