scientific,name,status,count,profile
Amytornis dorotheae,Carpentarian Grasswren,Endangered,182,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=558
Amytornis modestus,Thick-billed Grasswren,Vulnerable,87,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84121
Amytornis woodwardi,White-throated Grasswren,Vulnerable,2,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=564
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,624,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82338
Aphelocephala leucopsis,Southern Whiteface,Vulnerable,3247,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=529
Ardenna grisea,Sooty Shearwater,Vulnerable,891,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82651
Arenaria interpres,Ruddy Turnstone,Vulnerable,4099,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=872
Atrichornis clamosus,Noisy Scrub-bird,Endangered,332,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=654
Atrichornis rufescens,Rufous Scrub-bird,Endangered,230,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=655
Botaurus poiciloptilus,Australasian Bittern,Endangered,605,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1001
Calidris acuminata,Sharp-tailed Sandpiper,Vulnerable,9145,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=874
Calidris canutus,Red Knot,Vulnerable,2121,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=855
Calidris ferruginea,Curlew Sandpiper,Critically Endangered,3738,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=856
Calidris tenuirostris,Great Knot,Vulnerable,3524,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=862
Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,8201,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=768
Charadrius leschenaultii,Greater Sand Plover,Vulnerable,2523,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=877
Charadrius mongolus,Lesser Sand Plover,Endangered,1790,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=879
Dasyornis brachypterus,Eastern Bristlebird,Endangered,590,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=533
Dasyornis longirostris,Western Bristlebird,Endangered,355,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=515
Diomedea antipodensis,Antipodean Albatross,Vulnerable,1111,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64458
Diomedea epomophora,Southern Royal Albatross,Vulnerable,262,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89221
Diomedea exulans,Wandering Albatross,Vulnerable,308,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89223
Diomedea sanfordi,Northern Royal Albatross,Endangered,246,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64456
Erythrotriorchis radiatus,Red Goshawk,Endangered,92,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=942
Falco hypoleucos,Grey Falcon,Vulnerable,259,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=929
Gallinago hardwickii,Latham's Snipe,Vulnerable,5219,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=863
Grantiella picta,Painted Honeyeater,Vulnerable,599,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=470
Halobaena caerulea,Blue Petrel,Vulnerable,99,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1059
Hirundapus caudacutus,White-throated Needletail,Vulnerable,4303,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=682
Lathamus discolor,Swift Parrot,Critically Endangered,2029,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=744
Leipoa ocellata,Malleefowl,Vulnerable,669,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=934
Limnodromus semipalmatus,Asian Dowitcher,Vulnerable,200,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=843
Limosa limosa,Black-tailed Godwit,Endangered,1823,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=845
Macronectes giganteus,Southern Giant-Petrel,Endangered,280,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060
Macronectes halli,Northern Giant Petrel,Vulnerable,768,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061
Manorina melanotis,Black-eared Miner,Endangered,54,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=449
Neophema chrysogaster,Orange-bellied Parrot,Critically Endangered,29,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=747
Neophema chrysostoma,Blue-winged Parrot,Vulnerable,2659,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=726
Numenius madagascariensis,Eastern Curlew,Critically Endangered,9373,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=847
Pachycephala rufogularis,Red-lored Whistler,Vulnerable,140,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=601
Pardalotus quadragintus,Forty-spotted Pardalote,Endangered,719,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=418
