Scientific Name,Common Name,Current Scientific Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Current SPRAT TaxonID,Kingdom,Class,Profile,Date extracted,NSL Name,Family,Genus,Species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author
Abutilon julianae,Norfolk Island Abutilon,-,Critically Endangered,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,27797,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=27797,2026-Aug-28,https://id.biodiversity.org.au/name/apni/56543,Malvaceae,Abutilon,julianae,-,-,Endl.,-
Acacia ammophila,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,3763,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3763,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58340,Fabaceae,Acacia,ammophila,-,-,Pedley,-
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,8153,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8153,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58556,Fabaceae,Acacia,anomala,-,-,C.A.Gardner ex Court,-
Acacia aphylla,Leafless Rock Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,13553,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13553,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58565,Fabaceae,Acacia,aphylla,-,-,Maslin,-
Acacia aprica,Blunt Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64821,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821,2026-Aug-28,https://id.biodiversity.org.au/name/apni/149911,Fabaceae,Acacia,aprica,-,-,Maslin  A.R.Chapman,-
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,20767,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20767,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58598,Fabaceae,Acacia,araneosa,-,-,Whibley,-
Acacia aristulata,Watheroo Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64822,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64822,2026-Aug-28,https://id.biodiversity.org.au/name/apni/150783,Fabaceae,Acacia,aristulata,-,-,Maslin,-
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64823,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64823,2026-Aug-28,https://id.biodiversity.org.au/name/apni/141458,Fabaceae,Acacia,ataxiphylla,subsp.,magna,Maslin,-
Acacia atrox,Myall Creek Wattle,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82665,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82665,2026-Aug-28,https://id.biodiversity.org.au/name/apni/169779,Fabaceae,Acacia,atrox,-,-,Kodela,-
Acacia attenuata,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,10690,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10690,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58907,Fabaceae,Acacia,attenuata,-,-,Maiden  Blakely,-
